column,issue_type,count,pct,severity
data.text,missing_values,543,97.84,high
language_probability,missing_values,541,97.48,high
model,missing_values,534,96.22,high
source_file,missing_values,534,96.22,high
segments,missing_values,534,96.22,high
segment_count,missing_values,534,96.22,high
language,missing_values,534,96.22,high
stored_at,missing_values,534,96.22,high
duration,missing_values,534,96.22,high
data.paragraphs,missing_values,508,91.53,high
data.sheets,missing_values,508,91.53,high
data.tables,missing_values,508,91.53,high
data.exif.iso,missing_values,500,90.09,high
data.exif.file_name,missing_values,500,90.09,high
data.mode,missing_values,500,90.09,high
data.exif.extracted_at,missing_values,500,90.09,high
data.exif.gps,missing_values,500,90.09,high
data.width,missing_values,500,90.09,high
data.height,missing_values,500,90.09,high
data.file_size_kb,missing_values,500,90.09,high
data.exif.camera_make,missing_values,500,90.09,high
data.exif.focal_length,missing_values,500,90.09,high
data.exif.camera_model,missing_values,500,90.09,high
data.exif.date_taken,missing_values,500,90.09,high
data.processed_at,missing_values,500,90.09,high
data.exif.aperture,missing_values,500,90.09,high
data.exif.orientation,missing_values,500,90.09,high
data.format,missing_values,500,90.09,high
data.exif.exposure_time,missing_values,500,90.09,high
data.thumbnail_path,missing_values,500,90.09,high
data.webp_path,missing_values,500,90.09,high
data.resized_path,missing_values,500,90.09,high
data.original_path,missing_values,500,90.09,high
data.pages,missing_values,499,89.91,high
data.processed_text,missing_values,497,89.55,high
data.raw_text,missing_values,497,89.55,high
data.type,missing_values,434,78.2,high
data.make,missing_values,431,77.66,high
data.model,missing_values,431,77.66,high
data.year,missing_values,431,77.66,high
data.recalls,missing_values,431,77.66,high
data.price,missing_values,420,75.68,high
data.link,missing_values,420,75.68,high
data.page,missing_values,420,75.68,high
data.description,missing_values,420,75.68,high
data.title,missing_values,408,73.51,high
data.scraped_at,missing_values,354,63.78,high
data.extraction_timestamp,missing_values,347,62.52,high
data.document_type,missing_values,347,62.52,high
data.extraction_library,missing_values,347,62.52,high
data.file_name,missing_values,292,52.61,high
data.source,missing_values,91,16.4,medium
source,missing_values,21,3.78,low
fetched_at,missing_values,21,3.78,low
version,missing_values,21,3.78,low
release_year,missing_values,21,3.78,low
data.width,outliers,11,1.98,medium
data.height,outliers,11,1.98,medium
title,invalid_titles,534,96.22,high
