,missing_count,missing_pct
data.text,578,97.8
language_probability,575,97.29
data.raw_text,572,96.79
stored_at,567,95.94
segment_count,567,95.94
segments,567,95.94
model,567,95.94
duration,567,95.94
language,567,95.94
source_file,567,95.94
data.processed_text,550,93.06
data.paragraphs,542,91.71
data.tables,542,91.71
data.sheets,542,91.71
data.pages,532,90.02
data.exif.date_taken,531,89.85
data.height,531,89.85
data.file_size_kb,531,89.85
data.exif.file_name,531,89.85
data.exif.camera_make,531,89.85
data.processed_at,531,89.85
data.exif.camera_model,531,89.85
data.exif.exposure_time,531,89.85
data.mode,531,89.85
data.exif.aperture,531,89.85
data.exif.iso,531,89.85
data.exif.extracted_at,531,89.85
data.exif.gps,531,89.85
data.exif.focal_length,531,89.85
data.exif.orientation,531,89.85
data.width,531,89.85
data.resized_path,531,89.85
data.format,531,89.85
data.thumbnail_path,531,89.85
data.original_path,531,89.85
data.webp_path,531,89.85
data.recalls,461,78.0
data.make,461,78.0
data.type,461,78.0
data.model,461,78.0
data.year,461,78.0
data.page,447,75.63
data.link,447,75.63
data.price,447,75.63
data.description,447,75.63
data.title,434,73.43
data.scraped_at,377,63.79
data.document_type,371,62.77
data.extraction_timestamp,371,62.77
data.extraction_library,371,62.77
data.file_name,311,52.62
data.source,97,16.41
fetched_at,24,4.06
version,24,4.06
source,24,4.06
